time,c0,c1,v0,v1,i0,i1,cpu_uj,sys_uj
10988.0122881,52,5,7614000,7378000,841000,0,39009636768,47802894164
10989.0223222,52,5,7613000,7378000,841000,0,39011489241,47805077325
10990.0292702,52,5,7611000,7378000,841000,0,39013336282,47807270069
10991.039155,52,5,7611000,7378000,844000,0,39015218236,47809486127
10992.046576,52,5,7612000,7378000,847000,0,39017106414,47811744544
10993.0523171,52,5,7612000,7378000,849000,0,39018987086,47813972810
10994.061147,52,5,7614000,7378000,853000,0,39020857564,47816203823
10995.0717242,52,5,7615000,7378000,836000,0,39022697770,47818351705
10996.083282,52,5,7615000,7378000,836000,0,39024556346,47820518814
10997.0955751,52,5,7616000,7378000,833000,0,39026405524,47822676035
10998.1062031,52,5,7614000,7378000,835000,0,39028247499,47824839299
10999.1152442,52,5,7613000,7378000,834000,0,39030080624,47826996336
11000.1242781,52,5,7613000,7378000,833000,0,39031919487,47829136285
11001.134706,52,5,7614000,7378000,832000,0,39033769763,47831324389
11002.145412,52,5,7609000,7378000,905000,0,39035940289,47833793194
11003.1602762,52,5,7610000,7378000,841000,0,39037843178,47836014136
11004.16927,52,5,7609000,7378000,852000,0,39039767611,47838292511
11005.1782861,52,5,7608000,7378000,845000,0,39041646391,47840469996
11006.188009,52,5,7609000,7378000,841000,0,39043527367,47842657429
11007.1969562,52,5,7607000,7378000,856000,0,39045426410,47844910231
11008.210078,52,5,7612000,7378000,837000,0,39047299941,47847094552
11009.220408,52,5,7611000,7378000,841000,0,39049200265,47849308596
11010.23245,52,5,7612000,7378000,837000,0,39051045231,47851460690
11011.24335,52,5,7611000,7378000,844000,0,39053016295,47853747367
11012.2524822,52,5,7611000,7378000,851000,0,39054890802,47855935654
11013.2626691,52,5,7568000,7378000,1009000,0,39057625476,47858921059
11014.2691381,52,5,7572000,7378000,1210000,0,39061862281,47863156400
11015.2764442,52,5,7487000,7378000,1921000,0,39070170671,47870234019
11016.2860661,52,5,7525000,7378000,1896000,0,39077444273,47876592218
11017.291342,52,5,7552000,7378000,1473000,0,39082985884,47881652874
11018.297138,52,5,7571000,7378000,1286000,0,39087504549,47885972321
11019.3060181,52,5,7594000,7378000,1012000,0,39090142787,47888959740
11020.313195,52,5,7595000,7378000,1010000,0,39092976948,47892120010
11021.3214011,52,5,7597000,7378000,1014000,0,39095501721,47895075630
11022.3301351,52,5,7604000,7378000,957000,0,39098023871,47897974854
11023.3390961,52,5,7597000,7378000,959000,0,39100543457,47900861626
11024.3490422,52,5,7596000,7378000,974000,0,39103062493,47903804489
11025.36216,52,5,7597000,7378000,962000,0,39105553576,47906652138
11026.372272,52,5,7599000,7378000,944000,0,39108024333,47909470246
11027.383857,52,5,7597000,7378000,946000,0,39110497716,47912278955
11028.3952222,52,5,7596000,7378000,957000,0,39112970610,47915094500
11029.403657,52,5,7596000,7378000,957000,0,39115407554,47917896494
11030.411113,52,5,7600000,7378000,988000,0,39117976395,47920860964
11031.418818,52,5,7598000,7378000,949000,0,39120421763,47923684810
11032.4281712,52,5,7526000,7378000,1078000,0,39123635683,47926997912
11033.4394672,52,5,7599000,7378000,943000,0,39126110041,47929832377
11034.4456072,52,5,7598000,7378000,960000,0,39128620716,47932694247
11035.4544592,52,5,7598000,7378000,961000,0,39131141950,47935562404
11036.4610212,52,5,7601000,7378000,955000,0,39133625159,47938414752
11037.4679742,52,5,7591000,7378000,994000,0,39136255218,47941385875
11038.4766481,52,5,7599000,7378000,940000,0,39138692407,47944171146
11039.484164,52,5,7596000,7378000,951000,0,39141149432,47947004879
11040.4925802,52,5,7599000,7378000,942000,0,39143601147,47949812306
11041.504406,52,5,7597000,7378000,958000,0,39146095403,47952720624
11042.5130901,52,5,7597000,7378000,944000,0,39148566466,47955556493
11043.5253251,52,5,7592000,7378000,952000,0,39151038200,47958419279
11044.5401311,52,5,7605000,7378000,909000,0,39153417039,47961172751
